CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1504604,1 - Norte,15,Pará,Mocajuba,31136,4 - 20001 até 50000
1504703,1 - Norte,15,Pará,Moju,82094,5 - 50001 até 100000
1504752,1 - Norte,15,Pará,Mojuí dos Campos,16084,3 - 10001 até 20000
1504802,1 - Norte,15,Pará,Monte Alegre,58032,5 - 50001 até 100000
1504901,1 - Norte,15,Pará,Muaná,40349,4 - 20001 até 50000
1504950,1 - Norte,15,Pará,Nova Esperança do Piriá,21368,4 - 20001 até 50000
1504976,1 - Norte,15,Pará,Nova Ipixuna,16678,3 - 10001 até 20000
1505007,1 - Norte,15,Pará,Nova Timboteua,15363,3 - 10001 até 20000
1505031,1 - Norte,15,Pará,Novo Progresso,25762,4 - 20001 até 50000
1505064,1 - Norte,15,Pará,Novo Repartimento,75919,5 - 50001 até 100000
1505106,1 - Norte,15,Pará,Óbidos,52137,5 - 50001 até 100000
1505205,1 - Norte,15,Pará,Oeiras do Pará,32512,4 - 20001 até 50000
1505304,1 - Norte,15,Pará,Oriximiná,73096,5 - 50001 até 100000
1505403,1 - Norte,15,Pará,Ourém,17842,3 - 10001 até 20000
1505437,1 - Norte,15,Pará,Ourilândia do Norte,32832,4 - 20001 até 50000
1505486,1 - Norte,15,Pará,Pacajá,47706,4 - 20001 até 50000
1505494,1 - Norte,15,Pará,Palestina do Pará,7589,2 - 5001 até 10000
1505502,1 - Norte,15,Pará,Paragominas,113145,6 - 100001 até 500000
1505536,1 - Norte,15,Pará,Parauapebas,208273,6 - 100001 até 500000
1505551,1 - Norte,15,Pará,Pau D'Arco,5483,2 - 5001 até 10000
1505601,1 - Norte,15,Pará,Peixe-Boi,8077,2 - 5001 até 10000
1505635,1 - Norte,15,Pará,Piçarra,12981,3 - 10001 até 20000
1505650,1 - Norte,15,Pará,Placas,30982,4 - 20001 até 50000
1505700,1 - Norte,15,Pará,Ponta de Pedras,31082,4 - 20001 até 50000
1505809,1 - Norte,15,Pará,Portel,62043,5 - 50001 até 100000
1505908,1 - Norte,15,Pará,Porto de Moz,41135,4 - 20001 até 50000
1506005,1 - Norte,15,Pará,Prainha,29866,4 - 20001 até 50000
1506104,1 - Norte,15,Pará,Primavera,10825,3 - 10001 até 20000
1506112,1 - Norte,15,Pará,Quatipuru,13608,3 - 10001 até 20000
1506138,1 - Norte,15,Pará,Redenção,84787,5 - 50001 até 100000
1506161,1 - Norte,15,Pará,Rio Maria,18193,3 - 10001 até 20000
1506187,1 - Norte,15,Pará,Rondon do Pará,52357,5 - 50001 até 100000
1506195,1 - Norte,15,Pará,Rurópolis,50510,5 - 50001 até 100000
1506203,1 - Norte,15,Pará,Salinópolis,40675,4 - 20001 até 50000
1506302,1 - Norte,15,Pará,Salvaterra,23752,4 - 20001 até 50000
1506351,1 - Norte,15,Pará,Santa Bárbara do Pará,21079,4 - 20001 até 50000
1506401,1 - Norte,15,Pará,Santa Cruz do Arari,10128,3 - 10001 até 20000
1506500,1 - Norte,15,Pará,Santa Izabel do Pará,70801,5 - 50001 até 100000
1506559,1 - Norte,15,Pará,Santa Luzia do Pará,19848,3 - 10001 até 20000
1506583,1 - Norte,15,Pará,Santa Maria das Barreiras,21449,4 - 20001 até 50000
1506609,1 - Norte,15,Pará,Santa Maria do Pará,24861,4 - 20001 até 50000
1506708,1 - Norte,15,Pará,Santana do Araguaia,72817,5 - 50001 até 100000
1506807,1 - Norte,15,Pará,Santarém,304589,6 - 100001 até 500000
1506906,1 - Norte,15,Pará,Santarém Novo,6709,2 - 5001 até 10000
1507003,1 - Norte,15,Pará,Santo Antônio do Tauá,31482,4 - 20001 até 50000
1507102,1 - Norte,15,Pará,São Caetano de Odivelas,18050,3 - 10001 até 20000
1507151,1 - Norte,15,Pará,São Domingos do Araguaia,25557,4 - 20001 até 50000
1507201,1 - Norte,15,Pará,São Domingos do Capim,31989,4 - 20001 até 50000
1507300,1 - Norte,15,Pará,São Félix do Xingu,128481,6 - 100001 até 500000
1507409,1 - Norte,15,Pará,São Francisco do Pará,15882,3 - 10001 até 20000
1507458,1 - Norte,15,Pará,São Geraldo do Araguaia,24847,4 - 20001 até 50000
1507466,1 - Norte,15,Pará,São João da Ponta,6139,2 - 5001 até 10000
1507474,1 - Norte,15,Pará,São João de Pirabas,23045,4 - 20001 até 50000
1507508,1 - Norte,15,Pará,São João do Araguaia,13996,3 - 10001 até 20000
1507607,1 - Norte,15,Pará,São Miguel do Guamá,58986,5 - 50001 até 100000
1507706,1 - Norte,15,Pará,São Sebastião da Boa Vista,26640,4 - 20001 até 50000
1507755,1 - Norte,15,Pará,Sapucaia,5930,2 - 5001 até 10000
1507805,1 - Norte,15,Pará,Senador José Porfírio,11658,3 - 10001 até 20000
1507904,1 - Norte,15,Pará,Soure,25374,4 - 20001 até 50000
1507953,1 - Norte,15,Pará,Tailândia,106339,6 - 100001 até 500000
1507961,1 - Norte,15,Pará,Terra Alta,11720,3 - 10001 até 20000
1507979,1 - Norte,15,Pará,Terra Santa,18769,3 - 10001 até 20000
1508001,1 - Norte,15,Pará,Tomé-Açu,63447,5 - 50001 até 100000
1508035,1 - Norte,15,Pará,Tracuateua,30959,4 - 20001 até 50000
1508050,1 - Norte,15,Pará,Trairão,18989,3 - 10001 até 20000
1508084,1 - Norte,15,Pará,Tucumã,39602,4 - 20001 até 50000
1508100,1 - Norte,15,Pará,Tucuruí,113659,6 - 100001 até 500000
1508126,1 - Norte,15,Pará,Ulianópolis,59210,5 - 50001 até 100000
1508159,1 - Norte,15,Pará,Uruará,45476,4 - 20001 até 50000
1508209,1 - Norte,15,Pará,Vigia,53686,5 - 50001 até 100000
1508308,1 - Norte,15,Pará,Viseu,61403,5 - 50001 até 100000
1508357,1 - Norte,15,Pará,Vitória do Xingu,15134,3 - 10001 até 20000
1508407,1 - Norte,15,Pará,Xinguara,44751,4 - 20001 até 50000
1600055,1 - Norte,16,Amapá,Serra do Navio,5397,2 - 5001 até 10000
1600105,1 - Norte,16,Amapá,Amapá,9109,2 - 5001 até 10000
1600154,1 - Norte,16,Amapá,Pedra Branca do Amapari,16502,3 - 10001 até 20000
1600204,1 - Norte,16,Amapá,Calçoene,11117,3 - 10001 até 20000
1600212,1 - Norte,16,Amapá,Cutias,5983,2 - 5001 até 10000
1600238,1 - Norte,16,Amapá,Ferreira Gomes,7780,2 - 5001 até 10000
1600253,1 - Norte,16,Amapá,Itaubal,5503,2 - 5001 até 10000
1600279,1 - Norte,16,Amapá,Laranjal do Jari,50410,5 - 50001 até 100000
1600303,1 - Norte,16,Amapá,Macapá,503327,7 - Maior que 500000
1600402,1 - Norte,16,Amapá,Mazagão,21632,4 - 20001 até 50000
1600501,1 - Norte,16,Amapá,Oiapoque,27270,4 - 20001 até 50000
1600535,1 - Norte,16,Amapá,Porto Grande,21971,4 - 20001 até 50000
1600550,1 - Norte,16,Amapá,Pracuúba,5120,2 - 5001 até 10000
1600600,1 - Norte,16,Amapá,Santana,121364,6 - 100001 até 500000
1600709,1 - Norte,16,Amapá,Tartarugalzinho,17315,3 - 10001 até 20000
1600808,1 - Norte,16,Amapá,Vitória do Jari,15931,3 - 10001 até 20000
1700251,1 - Norte,17,Tocantins,Abreulândia,2579,1 - Até 5000
1700301,1 - Norte,17,Tocantins,Aguiarnópolis,6733,2 - 5001 até 10000
1700350,1 - Norte,17,Tocantins,Aliança do Tocantins,5390,2 - 5001 até 10000
1700400,1 - Norte,17,Tocantins,Almas,7055,2 - 5001 até 10000
1700707,1 - Norte,17,Tocantins,Alvorada,8412,2 - 5001 até 10000
1701002,1 - Norte,17,Tocantins,Ananás,9549,2 - 5001 até 10000
1701051,1 - Norte,17,Tocantins,Angico,3433,1 - Até 5000
1701101,1 - Norte,17,Tocantins,Aparecida do Rio Negro,4795,1 - Até 5000
1701309,1 - Norte,17,Tocantins,Aragominas,5758,2 - 5001 até 10000
1701903,1 - Norte,17,Tocantins,Araguacema,7086,2 - 5001 até 10000
1702000,1 - Norte,17,Tocantins,Araguaçu,8517,2 - 5001 até 10000
1702109,1 - Norte,17,Tocantins,Araguaína,180470,6 - 100001 até 500000
1702158,1 - Norte,17,Tocantins,Araguanã,5729,2 - 5001 até 10000
1702208,1 - Norte,17,Tocantins,Araguatins,35761,4 - 20001 até 50000
1702307,1 - Norte,17,Tocantins,Arapoema,6643,2 - 5001 até 10000
1702406,1 - Norte,17,Tocantins,Arraias,10567,3 - 10001 até 20000
1702554,1 - Norte,17,Tocantins,Augustinópolis,18412,3 - 10001 até 20000
1702703,1 - Norte,17,Tocantins,Aurora do Tocantins,3757,1 - Até 5000
1702901,1 - Norte,17,Tocantins,Axixá do Tocantins,9756,2 - 5001 até 10000
1703008,1 - Norte,17,Tocantins,Babaçulândia,10664,3 - 10001 até 20000
1703057,1 - Norte,17,Tocantins,Bandeirantes do Tocantins,3553,1 - Até 5000
1703073,1 - Norte,17,Tocantins,Barra do Ouro,4591,1 - Até 5000
1703107,1 - Norte,17,Tocantins,Barrolândia,5632,2 - 5001 até 10000
1703206,1 - Norte,17,Tocantins,Bernardo Sayão,4459,1 - Até 5000
1703305,1 - Norte,17,Tocantins,Bom Jesus do Tocantins,4894,1 - Até 5000
1703602,1 - Norte,17,Tocantins,Brasilândia do Tocantins,2201,1 - Até 5000
1703701,1 - Norte,17,Tocantins,Brejinho de Nazaré,5497,2 - 5001 até 10000
